PO_Number,Supplier,Category,Country,PO_Date,Promised_Delivery,Actual_Delivery,Quantity,Unit_Cost,Total_Cost
PO-0485,Bean-Smith,Apparel,Vietnam,2024-01-27,2024-04-05,2024-03-31,291,143.53,41767.23
PO-0486,Wright Ltd,Packaging,Vietnam,2023-06-02,2023-06-21,2023-06-30,672,151.08,101525.76
PO-0487,"Long, Singh and Guzman",Electronics,Mexico,2024-02-26,2024-05-21,2024-05-26,402,72.93,29317.86
PO-0488,Gaines-Olsen,Electronics,India,2023-07-24,2023-10-14,2023-10-11,810,358.12,290077.2
PO-0489,Rose Ltd,Food & Beverage,Germany,2024-05-06,2024-07-29,2024-08-13,524,164.19,86035.56
PO-0490,Reid-Meadows,Packaging,Vietnam,2023-10-04,2023-11-11,2023-11-01,40,448.4,17936.0
PO-0491,Rose Ltd,Packaging,Mexico,2023-10-15,2023-11-06,2023-11-21,795,294.07,233785.65
PO-0492,"Evans, Johnson and Blevins",Apparel,Mexico,2023-08-27,2023-10-01,2023-09-24,556,409.06,227437.36
PO-0493,"James, Hill and Yoder",Food & Beverage,Vietnam,2023-02-27,2023-04-11,2023-04-19,190,122.09,23197.1
PO-0494,Henry-Lee,Electronics,Brazil,2023-11-22,2024-01-21,2024-02-09,727,179.08,130191.16
PO-0495,Henry-Lee,Apparel,India,2024-08-04,2024-10-30,2024-10-24,565,157.98,89258.7
PO-0496,"Long, Singh and Guzman",Apparel,Germany,2024-05-17,2024-06-05,2024-05-28,234,14.86,3477.24
PO-0497,Wright Ltd,Apparel,Vietnam,2024-05-04,2024-05-19,2024-05-19,358,359.88,128837.04
PO-0498,Wright-Fields,Packaging,Brazil,2023-11-28,2023-12-20,2023-12-10,949,75.12,71288.88
PO-0499,Bean-Smith,Electronics,Mexico,2023-04-24,2023-07-15,2023-08-01,731,471.25,344483.75
PO-0500,Reid-Meadows,Food & Beverage,Mexico,2024-02-10,2024-05-10,2024-05-03,149,488.05,72719.45
